Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality,Authority,Hub
141680286,,,1,2,5,0.27308,0.282339,0,0,0.001094,0,0,0,0.002988,0.00078,0.00078
112959280,,,2,2,5,0.349553,0.368892,0.000011,4,0.0008,0,0,0,0.046051,0.013489,0.01349
39237911,,,2,3,5,0.302666,0.31946,0,3,0.001056,0,1,1,0.015481,0.004046,0.004046
169050594,,,4,2.010782,5,0.333966,0.354498,0.000651,0,0.00164,0,0,0,0.037164,0.010302,0.010302
147040855,,,2,3,5,0.32928,0.343466,0.000171,0,0.002029,0,0,0,0.020767,0.00575,0.00575
2415915638,,,1,1,5,0.361026,0.381723,0,0,0.000638,0,0,0,0.040034,0.011332,0.011332
25271470,,,2,2,5,0.340426,0.357434,0.000009,1,0.000809,0,0,0,0.036077,0.010447,0.010447
31103336,,,3,4,5,0.34886,0.369792,0.005682,3,0.001705,0,0.333333,1,0.040664,0.011115,0.011115
334921581,,,5,5,5,0.340755,0.361884,0.000257,2,0.002258,0,0.1,1,0.044662,0.012545,0.012545
2756873076,,,21,1.078167,5,0.409302,0.449669,0.012987,2,0.0012,0,0.095238,20,0.190179,0.053537,0.053537
406075350,,,1,1,5,0.332703,0.346828,0,3,0.000608,0,0,0,0.023375,0.00669,0.00669
68925769,,,1,1,5,0.361026,0.381723,0,0,0.000638,0,0,0,0.040034,0.011332,0.011332
383603196,,,2,2,5,0.324424,0.337027,0.000004,1,0.000803,0,0,0,0.025489,0.00762,0.00762
406835617,,,1,1,5,0.361026,0.381723,0,0,0.000638,0,0,0,0.040034,0.011332,0.011332
401144533,,,1,1,6,0.287582,0.303172,0,1,0.000607,0,0,0,0.012441,0.003616,0.003616
27406310,,,1,2,6,0.268908,0.278977,0,0,0.000961,0,0,0,0.002788,0.00067,0.00067
890392501,,,1,1,5,0.361026,0.381723,0,0,0.000638,0,0,0,0.040034,0.011332,0.011332
201303134,,,2,2,5,0.366667,0.388116,0,1,0.000867,0,1,1,0.048939,0.013902,0.013902
74935998,,,3,3.002695,5,0.339114,0.357055,0.000119,5,0.001135,0,0.333333,1,0.033958,0.009431,0.009431
14451059,,,1,2,6,0.307962,0.319555,0,3,0.000827,0,0,0,0.011883,0.003409,0.003409
