Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
538482349,,,19,26,5,0.40832,0.437489,0.004854,0.025285,0.025285,3,0.002722,0,0.163743,28,0.109098
2703225518,,,4,5,5,0.386328,0.409272,0.000228,0.016069,0.016069,0,0.000772,0,0.5,3,0.06735
3037268654,,,2,2,5,0.37356,0.394683,0.000052,0.01003,0.01003,4,0.000398,0,0,0,0.042249
381908656,,,2,2,5,0.353387,0.374397,0.000378,0.007083,0.007083,4,0.000461,0,0,0,0.029587
21708468,,,3,3,5,0.368395,0.388941,0.000039,0.012638,0.012638,0,0.000453,0,0.333333,1,0.050293
21451979,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
340201168,,,2,2,5,0.385132,0.406367,0,0.014365,0.014365,0,0.000392,0,1,1,0.057906
324746450,,,3,3,5,0.379258,0.402167,0,0.016992,0.016992,0,0.000488,0,1,3,0.069415
754801375,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
535741152,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
259406566,,,6,5.005391,5,0.3945,0.418432,0.000239,0.023223,0.023223,3,0.000634,0,0.6,9,0.09413
2300238571,,,3,3,5,0.359691,0.380831,0.000118,0.009459,0.009459,0,0.000476,0,0.333333,1,0.038843
58737901,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
272704749,,,2,3,5,0.356767,0.377458,0.000041,0.007773,0.007773,1,0.000471,0,0,0,0.032257
243502830,,,3,2.002695,5,0.369124,0.392225,0.000027,0.011402,0.011402,0,0.000376,0,0.333333,1,0.046278
3052259569,,,2,2,5,0.372627,0.394683,0,0.01272,0.01272,0,0.000405,0,1,1,0.052383
2189820660,,,4,5,5,0.392425,0.415639,0.000028,0.021165,0.021165,3,0.000634,0,0.833333,5,0.08572
949291260,,,4,4,5,0.388744,0.411841,0.000119,0.017072,0.017072,4,0.000562,0,0.333333,2,0.071013
252871945,,,3,3,5,0.375629,0.398034,0,0.015233,0.015233,0,0.000485,0,1,3,0.062424
308990730,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
1018483980,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
542294290,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
108413207,,,2,2,5,0.372255,0.393633,0.000077,0.010403,0.010403,9,0.000406,0,0,0,0.043507
2941316894,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
80471345,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
25991480,,,3,3,5,0.396176,0.41832,0,0.02012,0.02012,0,0.000488,0,1,3,0.081569
3014154552,,,3,4,5,0.366945,0.390304,0.000268,0.01127,0.01127,3,0.000706,0,0.666667,2,0.045825
324963642,,,2,2,5,0.358999,0.379692,0.000091,0.008067,0.008067,9,0.000402,0,0,0,0.033545
23567167,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
436974411,,,2,2,5,0.364614,0.387958,0,0.011357,0.011357,0,0.000386,0,1,1,0.045654
2930389837,,,5,4.002695,5,0.398079,0.421515,0.000102,0.023351,0.023351,0,0.000562,0,0.6,6,0.094412
1456883023,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
2734698319,,,3,2.002695,5,0.372441,0.394236,0.000021,0.013422,0.013422,0,0.000393,0,0.666667,2,0.054445
9444712,,,2,3,5,0.352719,0.37471,0,0.008581,0.008581,1,0.000453,0,1,1,0.034956
2820779388,,,2,2,5,0.351059,0.372587,0.002652,0.00697,0.00697,0,0.00075,0,0,0,0.029064
285294461,,,2,2,5,0.356256,0.377726,0.00011,0.00797,0.00797,0,0.000402,0,0,0,0.033051
176675722,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
37292428,,,10,15,5,0.384338,0.409227,0.001435,0.017753,0.017753,3,0.001585,0,0.333333,15,0.073911
3066306967,,,2,1.002695,5,0.353053,0.374441,0.000076,0.007311,0.007311,0,0.000309,0,0,0,0.030517
307301272,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
2476395422,,,3,3,5,0.396176,0.41832,0,0.02012,0.02012,0,0.000488,0,1,3,0.081569
97637281,,,3,2.008086,5,0.385331,0.407551,0.000135,0.014941,0.014941,0,0.000414,0,0.666667,2,0.061672
2909905314,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
1733873569,,,2,3,5,0.385132,0.406367,0,0.014365,0.014365,1,0.000475,0,1,1,0.057906
45246370,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
433234855,,,3,2.002695,5,0.387734,0.409495,0,0.017921,0.017921,0,0.000392,0,1,3,0.07076
458805681,,,2,2,5,0.352219,0.373548,0.000096,0.007232,0.007232,0,0.000466,0,0,0,0.030105
238352817,,,4,4,5,0.386929,0.409875,0.000052,0.018463,0.018463,0,0.00055,0,0.833333,5,0.075422
544234417,,,3,3,5,0.379258,0.402167,0,0.016992,0.016992,0,0.000488,0,1,3,0.069415
3029840821,,,2,2,5,0.372627,0.394683,0,0.01272,0.01272,0,0.000405,0,1,1,0.052383
2989104576,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
1978322882,,,2,2,5,0.372627,0.394683,0,0.01272,0.01272,0,0.000405,0,1,1,0.052383
33144784,,,3,4,5,0.353555,0.375067,0.00019,0.007866,0.007866,0,0.000631,0,0.333333,1,0.032852
1557810643,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
487381979,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
388607452,,,4,5,5,0.385132,0.40849,0.000127,0.017096,0.017096,8,0.000656,0,0.5,3,0.070978
957178860,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
433015295,,,1,1,5,0.350729,0.371693,0,0.006964,0.006964,0,0.000309,0,0,0,0.028721
587291195,,,4,5,5,0.363371,0.386595,0.000094,0.013689,0.013689,0,0.000796,0,0.666667,4,0.05665
2700379730,,,1,1,5,0.326906,0.340527,0,0.004272,0.004272,0,0.000283,0,0,0,0.017031
36891763,,,5,5,5,0.379258,0.403105,0.00056,0.020076,0.020076,0,0.000642,0,0.6,6,0.080756
388702412,,,5,6.002695,5,0.3473,0.36412,0.000354,0.007369,0.007369,9,0.000732,0,0,0,0.03081
100658892,,,1,1,5,0.326906,0.340527,0,0.004272,0.004272,0,0.000283,0,0,0,0.017031
28267249,,,2,2,5,0.351887,0.372341,0,0.010027,0.010027,0,0.000379,0,1,1,0.040693
44025107,,,6,7,5,0.38276,0.407954,0.000036,0.022907,0.022907,0,0.000753,0,0.733333,11,0.091541
16356699,,,9,17,5,0.362664,0.384071,0.000166,0.019901,0.019901,0,0.001383,0,0.222222,8,0.077996
54522269,,,11,14,5,0.410793,0.436037,0.00025,0.039201,0.039201,0,0.001377,0,0.563636,31,0.157615
821176802,,,3,3,5,0.348598,0.367337,0.000007,0.010688,0.010688,2,0.000437,0,0.333333,1,0.041661
983376769,,,8,13.002695,5,0.341107,0.357685,0.000186,0.010402,0.010402,3,0.001194,0,0.214286,6,0.041506
2887048652,,,8,12,5,0.341419,0.360858,0.000998,0.010578,0.010578,1,0.001207,0,0.107143,3,0.042033
47862321,,,14,13.010782,4,0.40086,0.427167,0.000796,0.038121,0.038121,1,0.001285,0,0.32967,30,0.150056
402509656,,,1,1,5,0.329214,0.341868,0,0.00544,0.00544,2,0.000266,0,0,0,0.020011
177437874,,,5,6,5,0.370407,0.391845,0.00275,0.012501,0.012501,4,0.000893,0,0.2,2,0.051729
20908942,,,1,1,6,0.259569,0.267091,0,0.000378,0.000378,10,0.000292,0,0,0,0.001819
700745372,,,2,3,5,0.318395,0.334584,0,0.004504,0.004504,3,0.000573,0,1,1,0.01788
9444022,,,7,9,5,0.387734,0.411729,0.000151,0.02338,0.02338,0,0.000974,0,0.47619,10,0.095069
26248642,,,2,1.002695,6,0.307249,0.317225,0.000018,0.001628,0.001628,0,0.000325,0,0,0,0.007025
19898890,,,48,47.002695,4,0.444048,0.481568,0.015615,0.092127,0.092127,0,0.004183,0,0.16844,190,0.365906
514182160,,,5,5,5,0.367126,0.387332,0.000193,0.015432,0.015432,8,0.000605,0,0.3,3,0.060273
30536727,,,1,1,5,0.318124,0.335009,0,0.003439,0.003439,9,0.000296,0,0,0,0.014785
457411146,,,2,2,5,0.323644,0.342002,0.000047,0.004444,0.004444,9,0.000389,0,0,0,0.019115
449534540,,,6,7,5,0.373935,0.399285,0.000172,0.016664,0.016664,8,0.000803,0,0.533333,8,0.070394
39206476,,,1,2,5,0.318124,0.335009,0,0.003439,0.003439,9,0.000393,0,0,0,0.014785
328517201,,,1,2,5,0.318124,0.335009,0,0.003439,0.003439,9,0.000393,0,0,0,0.014785
88872569,,,1,1,5,0.318124,0.335009,0,0.003439,0.003439,9,0.000296,0,0,0,0.014785
1226454150,,,3,4,5,0.351224,0.373012,0.000031,0.009664,0.009664,0,0.000655,0,0.666667,2,0.040633
68938444,,,2,2,5,0.334229,0.355809,0,0.006505,0.006505,4,0.000385,0,1,1,0.028314
444593393,,,3,2.002695,5,0.347623,0.367382,0.000183,0.008037,0.008037,9,0.000373,0,0.333333,1,0.032802
3068552947,,,3,1.005391,5,0.353722,0.371336,0.000296,0.007845,0.007845,9,0.0003,0,0,0,0.032767
2281953018,,,1,1,5,0.318124,0.335009,0,0.003439,0.003439,9,0.000296,0,0,0,0.014785
70365444,,,1,1,5,0.318124,0.335009,0,0.003439,0.003439,9,0.000296,0,0,0,0.014785
2191326486,,,1,1,5,0.318124,0.335009,0,0.003439,0.003439,9,0.000296,0,0,0,0.014785
2886833989,,,1,1,5,0.318124,0.335009,0,0.003439,0.003439,9,0.000296,0,0,0,0.014785
2881426850,,,1,1,5,0.318124,0.335009,0,0.003439,0.003439,9,0.000296,0,0,0,0.014785
2344450981,,,8,10,5,0.381586,0.406859,0.000178,0.019579,0.019579,4,0.001042,0,0.5,14,0.08235
95180748,,,1,1,5,0.318124,0.335009,0,0.003439,0.003439,9,0.000296,0,0,0,0.014785
29694441,,,4,6,5,0.329651,0.348414,0.000028,0.00551,0.00551,9,0.0008,0,0.5,3,0.024224
476350851,,,5,7.002695,5,0.311873,0.324017,0.000089,0.002513,0.002513,3,0.00089,0,0.1,1,0.01145
2995021182,,,2,3,5,0.324489,0.334674,0,0.005039,0.005039,2,0.000419,0,1,1,0.018913
37600849,,,3,6,5,0.327337,0.341086,0.000102,0.004912,0.004912,1,0.00068,0,0.333333,1,0.019567
43069125,,,3,4,5,0.319349,0.336483,0.002677,0.004404,0.004404,3,0.000852,0,0,0,0.017988
139614871,,,2,2,5,0.308647,0.321113,0,0.002924,0.002924,3,0.000378,0,1,1,0.011934
2718362810,,,6,9,5,0.381196,0.403418,0.000618,0.014911,0.014911,3,0.000917,0,0.266667,4,0.062027
24988926,,,2,2,5,0.320998,0.337712,0.000087,0.004467,0.004467,5,0.000418,0,0,0,0.017825
2907788046,,,2,3,5,0.368759,0.38798,0.000026,0.011574,0.011574,1,0.000438,0,0,0,0.045491
132445467,,,2,2,5,0.320034,0.33693,0.000027,0.004399,0.004399,3,0.000354,0,0,0,0.017799
2814697776,,,2,3,5,0.32936,0.344526,0.000047,0.004817,0.004817,3,0.000447,0,0,0,0.01929
382758717,,,1,2,5,0.318259,0.333914,0,0.004174,0.004174,3,0.000345,0,0,0,0.016306
1078684573,,,3,3.002695,5,0.36949,0.389209,0.005323,0.011584,0.011584,3,0.000431,0,0,0,0.045874
240010214,,,2,3,5,0.323785,0.340147,0.000013,0.005156,0.005156,3,0.000421,0,0,0,0.020127
54805470,,,3,5,5,0.327193,0.342471,0.00021,0.004976,0.004976,6,0.000702,0,0,0,0.019689
1899850260,,,5,7,5,0.302883,0.318231,0.000875,0.002539,0.002539,3,0.001092,0,0.2,2,0.011913
25975572,,,4,5,5,0.330967,0.349643,0.00084,0.004507,0.004507,9,0.000951,0,0,0,0.020176
14451059,,,3,4,5,0.342516,0.357417,0.000042,0.005282,0.005282,9,0.000576,0,0,0,0.022797
1108533062,,,3,4,5,0.350729,0.370174,0.002652,0.008187,0.008187,1,0.000846,0,0.333333,1,0.032789
326542714,,,1,2,6,0.259749,0.267717,0,0.00024,0.00024,1,0.000559,0,0,0,0.001211
877018897,,,4,5,5,0.37096,0.394102,0.000998,0.0157,0.0157,1,0.000761,0,0.5,3,0.063337
275445020,,,3,3,5,0.370591,0.393208,0,0.015669,0.015669,0,0.000458,0,1,3,0.062888
2241786542,,,4,4,5,0.371329,0.394549,0,0.016554,0.016554,0,0.000549,0,1,6,0.066526
337002546,,,4,4,5,0.364792,0.386305,0.001097,0.014342,0.014342,0,0.000646,0,0.5,3,0.05663
1120831028,,,2,3,5,0.285714,0.298123,0.000033,0.001241,0.001241,3,0.000481,0,0,0,0.005692
417901178,,,4,4,5,0.323364,0.335232,0.000059,0.00409,0.00409,4,0.000629,0,0.166667,1,0.016967
591728335,,,4,6,5,0.376577,0.399129,0.000077,0.015341,0.015341,1,0.000701,0,0.5,3,0.062264
482562312,,,3,3.002695,5,0.346011,0.364812,0.000018,0.007621,0.007621,0,0.000567,0,0.333333,1,0.031204
106622094,,,3,5,5,0.350235,0.369996,0.000035,0.008287,0.008287,1,0.000693,0,0.333333,1,0.033
1422546212,,,2,4,5,0.349415,0.368432,0,0.007643,0.007643,1,0.000601,0,1,1,0.030402
25257175,,,5,5.005391,5,0.302392,0.31374,0.00006,0.002844,0.002844,4,0.000888,0,0.1,1,0.01273
3038914968,,,2,1.002695,5,0.317853,0.331658,0.000092,0.002654,0.002654,3,0.000302,0,0,0,0.011538
467193917,,,1,1,6,0.245395,0.253441,0,0.000116,0.000116,13,0.000391,0,0,0,0.000894
75142659,,,2,3,5,0.302883,0.315304,0.000004,0.002772,0.002772,0,0.000452,0,0,0,0.011065
105727782,,,3,4.002695,5,0.314768,0.328396,0.000069,0.003449,0.003449,0,0.000643,0,0,0,0.014183
2551193485,,,1,1,6,0.257064,0.265103,0,0.000285,0.000285,6,0.000322,0,0,0,0.001449
502801101,,,1,2,7,0.213754,0.218926,0,0.000023,0.000023,12,0.001327,0,0,0,0.000436
623494796,,,2,2.002695,6,0.271767,0.282149,0.002652,0.000784,0.000784,12,0.001328,0,0,0,0.003757
21855539,,,5,8,5,0.3157,0.327882,0.000089,0.00308,0.00308,1,0.00093,0,0,0,0.013581
178957471,,,2,2,5,0.309415,0.322118,0.000007,0.003312,0.003312,10,0.000354,0,0,0,0.013122
289846547,,,6,5.002695,5,0.377913,0.399173,0.000472,0.018917,0.018917,3,0.000611,0,0.133333,2,0.073703
343280656,,,3,4,5,0.316504,0.330317,0.000011,0.005065,0.005065,3,0.000522,0,0.333333,1,0.020086
465311165,,,1,1,6,0.266143,0.274196,0,0.00034,0.00034,6,0.000398,0,0,0,0.001568
497437094,,,2,3,5,0.341888,0.360545,0.000705,0.005854,0.005854,1,0.000536,0,0,0,0.024423
143770402,,,2,4,6,0.290272,0.301206,0,0.001381,0.001381,8,0.000487,0,1,1,0.005916
107138512,,,1,2,6,0.242129,0.249598,0,0.000129,0.000129,3,0.000562,0,0,0,0.000827
238103606,,,2,3,5,0.362312,0.380608,0,0.012531,0.012531,1,0.000435,0,1,1,0.048244
193586319,,,4,5,5,0.372255,0.395934,0.000758,0.015532,0.015532,13,0.000851,0,0.5,3,0.062977
118613214,,,1,1,5,0.349088,0.367538,0,0.007401,0.007401,1,0.000283,0,0,0,0.029185
237245712,,,1,2,5,0.349088,0.367538,0,0.007401,0.007401,1,0.000365,0,0,0,0.029185
175261461,,,4,5,5,0.380612,0.402614,0.000069,0.019383,0.019383,1,0.000597,0,0.333333,2,0.076084
1042096441,,,2,3,5,0.352719,0.372676,0,0.009661,0.009661,1,0.000455,0,1,1,0.03842
1217026452,,,1,1,5,0.349088,0.367538,0,0.007401,0.007401,1,0.000283,0,0,0,0.029185
935820188,,,2,2,5,0.367669,0.390282,0,0.013156,0.013156,1,0.000378,0,1,1,0.052847
1851298633,,,1,1,5,0.349088,0.367538,0,0.007401,0.007401,1,0.000283,0,0,0,0.029185
2279758842,,,5,8,5,0.313841,0.326676,0.000894,0.004575,0.004575,10,0.00094,0,0,0,0.017993
103845812,,,16,20,5,0.383745,0.411953,0.007197,0.021973,0.021973,3,0.002385,0,0.133333,16,0.091056
137611265,,,3,4,5,0.344255,0.364343,0.000004,0.00897,0.00897,6,0.000533,0,0.666667,2,0.03652
24188289,,,4,5.002695,5,0.324913,0.336506,0.000331,0.003926,0.003926,14,0.001,0,0,0,0.016285
58749535,,,5,3.005391,5,0.381391,0.403083,0.000499,0.015173,0.015173,0,0.000477,0,0.3,3,0.062765
129788257,,,1,1,5,0.311873,0.322386,0,0.00226,0.00226,0,0.00029,0,0,0,0.009235
23757424,,,4,4,5,0.336187,0.353463,0.000135,0.005948,0.005948,0,0.000611,0,0.333333,2,0.025877
