source,target,weight_follow,retweet_weight,weight,user_info
37413076,1955720384,1.0,0.0026954177897574125,1.0026954177897571,both
37413076,1059207842,1.0,0.0,1.0,follow
37413076,193700451,1.0,0.0,1.0,follow
37413076,20644420,1.0,0.0,1.0,follow
37413076,24791335,1.0,0.0,1.0,follow
37413076,482583016,1.0,0.0026954177897574125,1.0026954177897571,both
37413076,2459169938,1.0,0.0,1.0,follow
37413076,327926324,1.0,0.0,1.0,follow
37413076,359236505,1.0,0.0,1.0,follow
37413076,64980891,1.0,0.0,1.0,follow
37413076,2831363550,1.0,0.0,1.0,follow
556661091,2785123074,1.0,0.0,1.0,follow
556661091,130417544,1.0,0.0,1.0,follow
556661091,198773386,1.0,0.0,1.0,follow
556661091,20051851,1.0,0.0,1.0,follow
556661091,359236505,1.0,0.0,1.0,follow
556661091,2891662632,1.0,0.0,1.0,follow
556661091,14711982,1.0,0.0,1.0,follow
556661091,23053753,1.0,0.0,1.0,follow
556661091,130123715,1.0,0.0,1.0,follow
556661091,1913262020,1.0,0.0,1.0,follow
556661091,522628807,1.0,0.0,1.0,follow
556661091,138294089,1.0,0.0,1.0,follow
556661091,1484651119,1.0,0.0,1.0,follow
556661091,419092341,1.0,0.0,1.0,follow
556661091,599745022,1.0,0.0,1.0,follow
573614242,340376505,1.0,0.0,1.0,follow
573614242,14711982,1.0,0.0,1.0,follow
573614242,599745022,1.0,0.0,1.0,follow
98896743,20644420,1.0,0.0,1.0,follow
74418780,590023803,1.0,0.0,1.0,follow
74418780,20644420,1.0,0.0,1.0,follow
769193119,1116121759,1.0,0.0,1.0,follow
34472348,229376260,1.0,0.0,1.0,follow
34472348,885751759,1.0,0.0,1.0,follow
34472348,590023803,1.0,0.0,1.0,follow
162266849,2360323201,1.0,0.0,1.0,follow
162266849,2459169938,1.0,0.0,1.0,follow
162266849,359236505,1.0,0.0,1.0,follow
162266849,25805982,1.0,0.0,1.0,follow
162266849,14711982,1.0,0.0,1.0,follow
162266849,546641586,1.0,0.0,1.0,follow
162266849,340376505,1.0,0.0,1.0,follow
162266849,23053753,1.0,0.0,1.0,follow
162266849,714051386,1.0,0.0,1.0,follow
162266849,1955720384,1.0,0.0,1.0,follow
162266849,424617920,1.0,0.0,1.0,follow
162266849,20644420,1.0,0.0,1.0,follow
162266849,138294089,1.0,0.0,1.0,follow
162266849,3017002076,1.0,0.0,1.0,follow
162266849,254941287,1.0,0.0,1.0,follow
162266849,1240932972,1.0,0.0,1.0,follow
162266849,25795054,1.0,0.0,1.0,follow
162266849,2483605494,1.0,0.0,1.0,follow
162266849,590023803,1.0,0.0,1.0,follow
38486565,86277690,1.0,0.0,1.0,follow
3063966541,599745022,1.0,0.0,1.0,follow
29424561,436502521,1.0,0.0,1.0,follow
29424561,20644420,1.0,0.0,1.0,follow
35588686,17263897,1.0,0.0,1.0,follow
29406736,1955720384,1.0,0.0,1.0,follow
29406736,20644420,1.0,0.0,1.0,follow
29406736,2831363550,1.0,0.0,1.0,follow
29406736,187138183,1.0,0.0,1.0,follow
29406736,144051948,1.0,0.0,1.0,follow
29406736,1386366252,1.0,0.0,1.0,follow
29406736,2587278392,1.0,0.0,1.0,follow
29406736,53645593,1.0,0.0,1.0,follow
29406736,359236505,1.0,0.0,1.0,follow
29406736,340376505,1.0,0.0,1.0,follow
100658892,53645593,1.0,0.0,1.0,follow
100658892,146668548,1.0,0.0,1.0,follow
38650214,772477398,1.0,0.0,1.0,follow
2829213614,1874504276,1.0,0.0,1.0,follow
38290921,33026792,1.0,0.0,1.0,follow
38290921,605013258,1.0,0.0,1.0,follow
38290921,590023803,1.0,0.0,1.0,follow
38290921,2105021,1.0,0.0,1.0,follow
38290921,2402894750,1.0,0.0,1.0,follow
247696871,2360323201,1.0,0.0,1.0,follow
247696871,36327171,1.0,0.0,1.0,follow
247696871,79459832,1.0,0.0,1.0,follow
247696871,19707925,1.0,0.0,1.0,follow
247696871,2402894750,1.0,0.0,1.0,follow
247696871,38645535,1.0,0.0,1.0,follow
247696871,573614242,1.0,0.0,1.0,follow
247696871,2797758762,1.0,0.0,1.0,follow
247696871,33894316,1.0,0.0,1.0,follow
247696871,36951856,1.0,0.0,1.0,follow
247696871,39935935,1.0,0.0,1.0,follow
247696871,20644420,1.0,0.0,1.0,follow
247696871,3015585874,1.0,0.0,1.0,follow
247696871,135132634,1.0,0.0,1.0,follow
247696871,21552376,1.0,0.0,1.0,follow
247696871,590023803,1.0,0.0,1.0,follow
247696871,599745022,1.0,0.0,1.0,follow
15641984,193700451,1.0,0.0,1.0,follow
15641984,20644420,1.0,0.0,1.0,follow
15641984,22906120,1.0,0.0,1.0,follow
15641984,51271144,1.0,0.0,1.0,follow
15641984,2459169938,1.0,0.0,1.0,follow
15641984,23053753,1.0,0.0,1.0,follow
15641984,590023803,1.0,0.0,1.0,follow
340376505,129635846,1.0,0.0,1.0,follow
340376505,29406736,1.0,0.0,1.0,follow
340376505,42542097,1.0,0.0,1.0,follow
340376505,431658017,1.0,0.0,1.0,follow
340376505,22874109,1.0,0.0,1.0,follow
340376505,327926324,1.0,0.0,1.0,follow
340376505,2587278392,1.0,0.0,1.0,follow
340376505,86277690,1.0,0.0,1.0,follow
340376505,20644420,1.0,0.0,1.0,follow
340376505,3015585874,1.0,0.0,1.0,follow
340376505,1874504276,1.0,0.0,1.0,follow
340376505,2992750166,1.0,0.0,1.0,follow
340376505,3017002076,1.0,0.0,1.0,follow
340376505,193700451,1.0,0.0,1.0,follow
340376505,254941287,1.0,0.0,1.0,follow
340376505,53128314,1.0,0.0,1.0,follow
340376505,590023803,1.0,0.0,1.0,follow
340376505,2360323201,1.0,0.0,1.0,follow
340376505,198773386,1.0,0.0,1.0,follow
340376505,2459169938,1.0,0.0,1.0,follow
340376505,3063697555,1.0,0.0,1.0,follow
340376505,291612312,1.0,0.0,1.0,follow
340376505,1570350235,1.0,0.0,1.0,follow
340376505,25805982,1.0,0.0,1.0,follow
340376505,1116121759,1.0,0.0,1.0,follow
340376505,350209691,1.0,0.0,1.0,follow
