source,target,weight_follow,retweet_weight,weight,user_info
13857342,413779729,1.0,0.0,1.0,follow
930620467,413779729,1.0,0.0,1.0,follow
930620467,23935607,1.0,0.0,1.0,follow
9609622,779043331,1.0,0.0,1.0,follow
9609622,27632906,1.0,0.0,1.0,follow
9609622,124948370,1.0,0.0,1.0,follow
9609622,65300245,1.0,0.0,1.0,follow
9609622,28976669,1.0,0.0,1.0,follow
9609622,121728542,1.0,0.0,1.0,follow
9609622,2385999008,1.0,0.0,1.0,follow
9609622,144840737,1.0,0.0,1.0,follow
9609622,22863660,1.0,0.0,1.0,follow
9609622,416182191,1.0,0.0,1.0,follow
9609622,29424561,1.0,0.0,1.0,follow
9609622,63070517,1.0,0.0,1.0,follow
9609622,2570427830,1.0,0.0,1.0,follow
9609622,240049848,1.0,0.0,1.0,follow
9609622,152992187,1.0,0.0,1.0,follow
9609622,20644420,1.0,0.0,1.0,follow
9609622,37659338,1.0,0.0,1.0,follow
9609622,1103294161,1.0,0.0,1.0,follow
9609622,22605785,1.0,0.0,1.0,follow
9609622,1333946204,1.0,0.0,1.0,follow
9609622,151412447,1.0,0.0,1.0,follow
9609622,167221856,1.0,0.0,1.0,follow
9609622,14707553,1.0,0.0,1.0,follow
9609622,2330373110,1.0,0.0,1.0,follow
37413076,1955720384,1.0,0.0026954177897574125,1.0026954177897571,both
37413076,1059207842,1.0,0.0,1.0,follow
37413076,193700451,1.0,0.0,1.0,follow
37413076,20644420,1.0,0.0,1.0,follow
37413076,24791335,1.0,0.0,1.0,follow
37413076,482583016,1.0,0.0026954177897574125,1.0026954177897571,both
37413076,2710541450,1.0,0.0,1.0,follow
37413076,99233470,1.0,0.0,1.0,follow
37413076,157996080,1.0,0.0,1.0,follow
37413076,2459169938,1.0,0.0,1.0,follow
37413076,327926324,1.0,0.0,1.0,follow
37413076,376679416,1.0,0.0,1.0,follow
37413076,359236505,1.0,0.0,1.0,follow
37413076,64980891,1.0,0.0,1.0,follow
37413076,27225245,1.0,0.0,1.0,follow
37413076,2831363550,1.0,0.0,1.0,follow
556661091,23411203,1.0,0.0,1.0,follow
556661091,130417544,1.0,0.0,1.0,follow
556661091,198773386,1.0,0.0,1.0,follow
556661091,20051851,1.0,0.0,1.0,follow
556661091,22116112,1.0,0.0,1.0,follow
556661091,33134609,1.0,0.0,1.0,follow
556661091,232728981,1.0,0.0,1.0,follow
556661091,397153813,1.0,0.0,1.0,follow
556661091,3236121,1.0,0.0,1.0,follow
556661091,359236505,1.0,0.0,1.0,follow
556661091,121728542,1.0,0.0,1.0,follow
556661091,270294818,1.0,0.0,1.0,follow
556661091,2891662632,1.0,0.0,1.0,follow
556661091,23699500,1.0,0.0,1.0,follow
556661091,14711982,1.0,0.0,1.0,follow
556661091,23053753,1.0,0.0,1.0,follow
556661091,91351746,1.0,0.0,1.0,follow
556661091,2313204931,1.0,0.0,1.0,follow
556661091,130123715,1.0,0.0,1.0,follow
556661091,1913262020,1.0,0.0,1.0,follow
556661091,23747654,1.0,0.0,1.0,follow
556661091,138294089,1.0,0.0,1.0,follow
556661091,704903653,1.0,0.0,1.0,follow
556661091,14473703,1.0,0.0,1.0,follow
556661091,170276973,1.0,0.0,1.0,follow
556661091,351399926,1.0,0.0,1.0,follow
556661091,599745022,1.0,0.0,1.0,follow
71952630,590023803,1.0,0.0,1.0,follow
71952630,20644420,1.0,0.0,1.0,follow
2756873076,2784049716,1.0,0.0,1.0,follow
14770241,2587278392,1.0,0.0,1.0,follow
14770241,556661091,1.0,0.0,1.0,follow
14770241,19178668,1.0,0.0,1.0,follow
14770241,23288511,1.0,0.0,1.0,follow
573614242,340376505,1.0,0.0,1.0,follow
573614242,22871737,1.0,0.0,1.0,follow
573614242,14711982,1.0,0.0,1.0,follow
573614242,599745022,1.0,0.0,1.0,follow
709105290,20644420,1.0,0.0,1.0,follow
709105290,1923691058,1.0,0.0,1.0,follow
